lyrics,category
"Sometimes you lose some
And right now, right now I'm losing bad
I've stood on this stage night after night
Reminding the broken it'll be all right
But right now, oh right now I just can't

It's easy to sing
When there's nothing to bring me down
But what will I say
When I'm held to the flame
Like I am right now

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone

They say it only takes a little faith
To move a mountain
Well, good thing
A little faith is all I have right now
But God, when You choose
To leave mountains unmovable
Give me the strength to be able to sing
It is well with my soul

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone
I know the sorrow, and I know the hurt
Would all go away if You'd just say the word
But even if You don't
My hope is You alone

You've been faithful, You've been good
All of my days
Jesus, I will cling to You
Come what may
'Cause I know You're able
I know You can

I know You're able and I know You can
Save through the fire with Your mighty hand
But even if You don't
My hope is You alone
I know the sorrow, and I know the hurt
Would all go away if You'd just say the word
But even if You don't
My hope is You alone

It is well with my soul
It is well, it is well with my soul",Inspiring
"I stopped at the gate
Thinking I don't deserve to pass through after all the mistakes that I've made

Oh but I heard a whisper
As Heaven bent down
Said, ""Child, don't you know that the first will be last and the last get a crown""

Now I'm just a beggar in the presence of a King
I wish I could bring so much more
But if it's true You use broken things
Then here I am Lord, I'm all Yours

The pages of history they tell me it's true
That it's never the perfect; it's always the ones with the scars that You use

It's the rebels and the prodigals; it's the humble and the weak
All the misfit heroes You chose
Tell me there's hope for sinners like me

Now I'm just a beggar in the presence of a King
I wish I could bring so much more
But if it's true You use broken things
Then here I am Lord, I'm all Yours

Grace is a kingdom
With gates open wide
There's a seat at the table just waiting for you
So, come on inside",Inspiring
"Like a wildfire in my heart
Sunday morning, Hallelujah
And it's lasting all week long

Can you hear it?
Can you feel it?
It's the rhythm of a gospel song
Oh once you choose it, you can lose it
There ain't nothing there ain't nothing gonna steal my joy
I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steal my joy

When the valleys, that I wander
Turn to mountains that I can climb
Oh, you are with me, never leave me
Oh cause there ain't nothing there ain't nothing gonna steal my joy

I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steel my joy

Clap your hands and stomp your feet
Till you find that gospel beat
'Cause it's all you'll ever need
Clap your hands and stomp your feet
Till you find that gospel beat
'Cause it's all you'll ever need
All you'll ever need

I've got an old church choir, singing in my soul
I got a sweet salvation, and it's beautiful

I got an Old Church Choir singing in my soul
I got a sweet salvation and it's beautiful
I've got a heart overflowing 'cause I've been restored
There ain't nothing gonna steal my joy
No there ain't nothing gonna steal my joy
Oh there ain't nothing gonna steal my joy",Inspiring
"Overwhelmed by the weight of your sin
Jesus is calling
Have you come to the end of yourself
Do you thirst for a drink from the well
Jesus is calling

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Leave behind your regrets and mistakes
Come today there’s no reason to wait
Jesus is calling
Bring your sorrows and trade them for joy
From the ashes a new life is born
Jesus is calling, oh

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Savior, what a Savior

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

O come to the altar
The Father's arms are open wide
Forgiveness was bought with, oh
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ, oh

Thank You, Lord

Bear your cross as you wait for the crown
Tell the world of the treasure you've found",Inspiring
"I don't wanna see anymore, give me a vision
That you could move this heart, to be set apart
I don't need to recognize the man in the mirror
And I don't wanna trade Your plan for something familiar
I can't waste a day, I can't stay the same

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Is a fire so bright
The whole world can see
That there's something different
So come and be different
In me

And I don't wanna spend my life stuck in a pattern
And I don't wanna gain this world but lose what matters
And so I'm giving up everything because

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Is a fire so bright
The whole world can see
That there's something different
So come and be different, oh

I know, that I am far from perfect
But through You, the cross still says I'm worth it
So take this beating in my heart and
Come and finish what You started
When they see me, let them see You
'Cause I just wanna be different, yea

I wanna be different
I wanna be changed
'Til all of me is gone
And all that remains
Oh is a fire so bright
The whole world can see
That there's something different
So come and be different
I just wanna be different
So could You be different
In me",Inspiring
"Oh, how you worry
Oh, how you're weary, from fearing you lost control
This was the one thing, you didn't see coming
And no one would blame you, though
If you cried in private
If you tried to hide it away, so no one knows
No one will see, if you stop believing

Oh, my soul
You are not alone
There's a place where fear has to face the God you know
One more day, He will make a way
Let Him show you how, you can lay this down
'Cause you're not alone

Here and now
You can be honest
I won't try to promise that someday it all works out
'Cause this is the valley
And even now, He is breathing on your dry bones
And there will be dancing
There will be beauty where beauty was ash and stone
This much I know

I'm not strong enough, I can't take anymore
(You can lay it down, you can lay it down)
And my shipwrecked faith will never get me to shore
(You can lay it down, you can lay it down)
Can He find me here
Can He keep me from going under

Oh, my soul
You're not alone",Inspiring
"How can I move on when all I have is regrets
How can I fix you when I keep turning away
How can I make it past the noise with my shame

I need a miracle
Some healing for my heart
I need a revelation
A brand new start
I want simplicity
Where I can rest
But I need a miracle to put my past to death

I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You

I want so badly just to finally get well
But I don't want a quick fix and emotional self
I will be honest with my humanity
No I'm not perfect and I don't pretend to be

I need a miracle
Some healing for my heart
I need a revelation
A brand new start
I want simplicity
Where I can rest
But I need a miracle to put my past to death

I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You

People say that I've lost myself
I'll say I'm found in You
People ask where does my story end
I'll say it starts with You

I know You want my heart
My bruises and my scars
I'm coming as I am
I know You want my heart
My bruises and my scars
I'm coming as I am
The only way I can
I can't forget from where I've come
And what my heart's been rescued from
Yeah when they ask me who
I owe my whole life to
I point to You
I point to You
I point to You
I point to You",Inspiring
"Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

I wanna magnify Your light
I wanna reflect the sun
Cut like precious diamonds
With the colors by the millions
This is the only world we know
And for now this rental's our home
If we gonna be a reflection
Gotta make this third rock glow
(Just so you know ...)

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright

Lights in the city might be more than pretty, pretty
That freaky shine might be more than meets the eye
Anytime you see that sparkle in the dark you might look deeper, deeper
It might be more than simply theatre

Yo, that smile might be joy that's connected to the spirit
The spirit might be contagious if you dare, you dare come near it
I remember, can't forget, peace that you can't second guess
Sparkle as the light reflects we writin' pay it forward checks

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright

The lights in the city shine bright
The lights in the city shine bright
So let your heart light shine tonight

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people, makin' music for the people

Lights shine bright everywhere we go
Music for the people to illuminate the soul
Lights shine bright everywhere we go
Music for the people
Jesus music for the people

Everywhere we go
Lights shine bright, lights shine bright
Everywhere we go
Lights shine bright, lights shine bright...",Inspiring
"Dodging arrows from my past
I had no hope for tomorrow
Felt so much pressure yes I thought I would crack
But now there's no looking back
I'm moving forward 'cause I know
I got my armor now
No fear no doubt can shoot me down
I got my armor now
No fear no doubt gonna shoot me down
Now I'm bulletproof because of you You
Because of You
And now I'm bulletproof because of you You
Because of You
You conquered the grave
Your love Love made a way
Now I'm not afraid
No matter what the world may say or what they do
I am bulletproof because of you You, because of You
I know You got this whole thing under control
My soul is untouchable because
You've already won me
My victory is not in this flesh and bone
It's in the cross and I know
Nobody's taking it from me
I got my armor now
No fear no doubt can shoot me down
I got my armor now
No fear no doubt gonna shoot me down
I don't have to fear no more, worry no more",Inspiring
"One with God, the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful name it is
What a beautiful name it is
The name of Jesus Christ my King

What a beautiful name it is
Nothing compares to this
What a beautiful name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful name it is
What a wonderful name it is
The name of Jesus Christ my King

What a wonderful name it is
Nothing compares to this
What a wonderful name it is
The name of Jesus

What a wonderful name it is
The name of Jesus

How sweet is Your name, O God
How good You are
We love to sing of Your name, Lord
Love to sing of who You are

Death could not hold You, the veil tore before You
You silence the boast of sin and grave
The heavens are roaring the praise of Your glory
For You are raised to life again

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

What a powerful name it is
The name of Jesus
What a powerful name it is
The name of Jesus",Inspiring
"You wiped my tears away
And I've felt the pain of heartbreak
And I've seen the brighter days

And I've prayed prayers to Heaven
From my lowest place
And I have held Your blessings
God, You give and take away

No matter what I have, Your grace is enough
No matter where I am, I'm standing in Your love

On the mountains, I will bow my life
To the One who set me there
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

I've watched my dreams get broken
In You, I hope again
No matter what I know
I'm safe inside Your hands

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

On the mountains, I will bow my life, yeah
In the valley, I will lift my eyes, yeah

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone (I'm not alone)

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone (God of the valleys)

And I will choose to say
Blessed be Your Name
And I am not alone",Inspiring
"I lay each one down at Your feet
Every moment of my wandering
Never changes what You see

I've tried to win this war I confess
My hands are weary I need Your rest
Mighty Warrior, King of the fight
No matter what I face, You're by my side

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

Truth is, You know what tomorrow brings
There's not a day ahead You have not seen
So, in all things be my life and breath
I want what You want Lord and nothing less

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

You are my strength and comfort
You are my steady hand
You are my firm foundation; the rock on which I stand

Your ways are always higher
Your plans are always good
There's not a place where I'll go, You've not already stood

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

I will trust in You!
I will trust in You!
I will trust in You!",Inspiring
"If you've been hearing the same old voice tell the same old lies
If you're trying to feel the same old holes inside
There's a better life
There's a better life

If you've got pain
He's a pain taker
If you feel lost
He's a way maker
If you need freedom or saving
He's a prison-shaking Savior
If you've got chains
He's a chain breaker

We've all search for the light of day in the dead of night
We've all found ourselves worn out from the same old fight
We've all run to things we know just ain't right
And there's a better life
There's a better life

If you believe it
If you receive it
If you can feel it
Somebody testify",Inspiring
"Like I'm coming undone
This walk can often feel lonely
No matter what until this race is won
I will stand my ground where hope can be found
I will stand my ground where hope can be found

Oh, O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face this I know in time
You'll take all that is wrong and make it right
You'll take all that is wrong and make it right

Your strength is found
At the end of my road
Your grace it reaches to the hurting
Still through the tears and the questioning why
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!

Oh, O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face This I know in time
You'll take all that is wrong and make it right
So Right, Right so Right

I will stand my ground where hope can be found!
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!

Oh! O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face I know that in time
You'll take all that is wrong and make it right
You'll take all that is wrong and make it right
So right. Right, so right.",Inspiring
"When I walk by your side
I can only imagine what my eyes will see
When your face is before me
I can only imagine, yeah

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

I can only imagine when that day comes
And I find myself standing in the Son
I can only imagine when all I will do
Is forever, forever worship you
I can only imagine
I can only imagine

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

I can only imagine, yeah
I can only imagine
I can only imagine

I can only imagine
When all I will do
Is forever, forever worship you
I can only imagine",Inspiring
"All this pain, all this suffering
There's a better place
Waiting for me
In Heaven

Every tear will be wiped away
Every sorrow and sin erased
We'll dance on seas of amazing grace
In Heaven
In Heaven

I'm goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong
Home

Lay down my burdens, I lay down my past
I run to Jesus, no turning back
Thank God Almighty, I'll be free at last
In Heaven
In Heaven

I'm goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong

Blinded eyes
Will finally see
The dead will rise
On the shores of eternity
The trump will sound
The angels will sing
Hallelujah, Hallelujah

I am 
Goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong
Where I belong

I'm goin' home
I'm goin' home
I'm on my way home
I'm goin' home",Inspiring
"And You sprung a well from a heart of stone
But I was careful then what I let You see
Only thought You wanted the best of me

The less I trust You the less I grow
The more You love me the more I know
I don't have to be afraid to show
All of me, all of me

Where there's hurting
You show me what healing can do
Where there's hatred
You show me how kindness can move
Where there's fear deep inside
I won't run, I won't hide
I'll give You all of me
So that You can see
Every broken piece

And open up my whole heart, whole heart
And love You with my whole heart, whole heart
My whole heart

So I'm ready now gonna let You in
All the way to the scars beneath my skin
And You don't look away cause You understand
And You hold my heart with a gentle hand

The less I trust You the less I grow
The more You love me the more I know
I don't have to be afraid to show
All of me, all of me

Where there's hurting
Oh where there's sorrow and shame
Enter into the pain",Inspiring
"Of what they think You're like
But I've heard the tender whisper
Of love in the dead of night
And You tell me that You're pleased
And that I'm never alone

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

Oh, and I've seen many searching
For answers far and wide
But I know we're all searching
For answers only You provide
'Cause You know just what we need
Before we say a word

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

Cause You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us

You are perfect in all of Your ways
Oh, You are perfect in all of Your ways
You are perfect in all of Your ways to us

Oh, it's love so undeniable
I, I can hardly speak
Peace so unexplainable
I, I can hardly think
As You call me deeper still
As You call me deeper still
As You call me deeper still
Into love, love, love

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am
You're a good good Father

You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways",Inspiring
"And in the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me in the eye of the storm

When the solid ground is falling out from underneath my feet
Between the black skies, and my red eyes, I can barely see
When I realize I've been sold out by my friends and my family
I can feel the rain reminding me

In the eye of the storm, You remain in control
In the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me in the eye of the storm

Mmm, when my hopes and dreams are far from me, and I'm runnin' out of faith
I see the future I picture slowly fade away
And when the tears of pain and heartache are falling down my face
I find my peace in Jesus' name

In the eye of the storm (yeah, yeah)
You remain in control (yes you do, Lord)
In the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me (Your love surrounds me)
In the eye of the storm (in the eye of the storm)

When the test comes in and the doctor says I've only got a few months left
It's like a bitter pill I'm swallowing; I can barely take a breath
And when addiction steals my baby girl, and there's nothing I can do
My only hope is to trust You
I trust You, Lord

In the eye of the storm (yeah, yeah) You remain in control
In the middle of the war (middle of the war), You guard my soul (yeah!)
You alone are the anchor (ooh), when my sails are torn
Your love surrounds me (yeah!)

In the eye of the storm, You remain in control (yes you do, Lord)
In the middle of the war (in the middle of the war), You guard my soul
You alone are the anchor (ooh), when my sails are torn
Your love surrounds me in the eye of the storm, ooh
Oh, in the eye of, oh, in the eye of the storm
I know You're watching me, yeah, ay

When the storm is raging (when the storm is raging)
And my hope is gone (and my hope is gone, Lord)
When my flesh is failing, You're still holding on, oh whoa
When the storm is raging (the storm is raging)
And my hope is gone (and all my hope is gone)
When my flesh is failing (my flesh is failing)
You're still holding on, ooh
When the storm is raging (when the storm is raging)
And my hope is gone (and my hope is gone)
Even when my flesh is failing (flesh is failing)
You're still holding on, holding on


The Lord is my Shepherd
I have all that I need
He lets me rest in green meadows
He leads me beside peaceful streams
He renews my strength
He guides me along right paths, bringing honor to His Name
Even when I walk through the darkest valley, I will not be afraid
For You are close beside me",Inspiring
"You took the blame for everything
I should have been in exile
You became the door to freedom

I used to live in the darkness
Searching for a way of escape
Then You turned the light on
Now I can see, now I can see

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder, a wonder working God

Once I was a stranger
You welcomed me as a long lost friend
Now I have a future
Found in the Son, found in the Son

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder, a wonder working God

Wonder working, wonder working, wonder working God
(There's none like You, yeah yeah, yeah yeah, yeah)
Wonder working, wonder working, wonder working God
(Wonder working God)
Wonder working, wonder working, wonder working God
Wonder working, wonder working, wonder working God
Wonder working, wonder working, wonder working God",Inspiring
